一个	yi2'ge4
三乐	san1'yao4
三乘	san1'sheng4
三亲	san1'qin1
三仇	san1'chou2
三传	san1'zhuan4
三分	san1'fen1
三场	san1'chang2
三复	san1'fu4
三复	san4'fu4
三度	san1'du4
三思	san1'si1
三思	san4'si1
三教	san1'jiao4
三更	san1'geng1
三正	san1'zheng1
三正	san1'zheng4
三监	san1'jian1
三相	san1'xiang4
三省	san1'sheng3
三省	san1'xing3
三落	san1'luo4
三藏	san1'zang4
三藩	san1'fan2
三行	san1'hang2
三行	san1'xing4
三辟	san1'pi4
三重	san1'chong2
上乘	shang4'sheng4
上传	shang4'chuan2
上供	shang4'gong4
上偻	shang4'lou2
上分	shang4'fen5
上刹	shang4'cha4
上劲	shang4'jin4
上去	shang4'qu5
上司	shang4'si1
上司	shang4'si5
上声	shang3'sheng1
上头	shang4'tou2
上头	shang4'tou5
上宿	shang4'su4
上将	shang4'jiang4
上当	shang4'dang4
上操	shang4'cao1
上朝	shang4'chao2
上来	shang4'lai5
上校	shang4'xiao4
上浆	shang4'jiang1
上浣	shang4'huan3
上涨	shang4'zhang3
上片	shang4'pian4
上疏	shang4'shu4
上盖	shang4'gai4
上相	shang4'xiang4
上着	shang4'zhao1
上着	shang4'zhe5
上知	shang4'zhi4
上空	shang4'kong1
上色	shang4'se4
上色	shang4'shai3
上落	shang4'luo4
上调	shang4'tiao2
上载	shang4'zai4
上边	shang4'bian5
上都	shang4'du1
上面	shang4'mian5
下乘	xia4'sheng4
下作	xia4'zuo5
下劲	xia4'jin4
下去	xia4'qu5
下咽	xia4'yan4
下地	xia4'di4
下场	xia4'chang2
下场	xia4'chang3
下场	xia4'chang5
下处	xia4'chu5
下头	xia4'tou2
下头	xia4'tou5
下子	xia4'zi3
下子	xia4'zi5
下巴	xia4'ba5
下得	xia4'de5
下操	xia4'cao1
下旋	xia4'xuan2
下来	xia4'lai2
下来	xia4'lai5
下槛	xia4'kan3
下水	xia4'shui3
下水	xia4'shui5
下浣	xia4'huan3
下澣	xia4'huan3
下片	xia4'pian4
下种	xia4'zhong3
下肚	xia4'du4
下落	xia4'luo4
下行	xia4'xing2
下调	xia4'diao2
下调	xia4'tiao2
下跌	xia4'die2
下载	xia4'zai3
下边	xia4'bian1
下边	xia4'bian5
下都	xia4'du1
下降	xia4'jiang4
下面	xia4'mian4
下面	xia4'mian5
下颏	xia4'hai2
不与	bu4'yu3
不中	bu2'zhong4
不中	bu4'zhong1
不乐	bu2'le4
不了	bu4'liao3
不予	bu4'yu2
不什	bu4'she2
不会	bu2'hui4
不传	bu4'chuan2
不供	bu2'gong4
不便	bu2'bian4
不倒	bu4'dao3
不假	bu4'jia3
不兴	bu4'xing1
不剌	bu2'la4
不勾	bu2'gou4
不匮	bu2'kui4
不和	bu2'han4
不和	bu4'he2
龟裂	jun1'lie4
不处	bu4'chu3
不大	bu2'da4
不好	bu2'hao4
不好	bu4'hao3
不宁	bu4'ning2
不将	bu4'jiang1
不少	bu4'shao3
不差	bu2'cha4
不差	bu4'cha1
不干	bu4'gan1
不度	bu2'du4
不弟	bu2'ti4
不强	bu4'qiang2
不当	bu2'dang4
不当	bu4'dang1
不待	bu2'dai4
不得	bu4'de2
不忒	bu2'te4
不息	bu4'xi2
不惜	bu4'xi2
不揣	bu4'chuai3
不数	bu4'shu3
不是	bu2'shi4
不是	bu4'shi5
不曾	bu4'ceng2
不朝	bu4'chao2
不期	bu4'qi2
不杀	bu2'shai4
不淑	bu4'shu2
不渐	bu2'jian4
不熟	bu4'shu2
不的	bu4'di2
不相	bu4'xiang1
不省	bu4'xing3
不着	bu4'zhao2
不着	bu4'zhuo2
不禁	bu4'jin1
不称	bu2'cheng4
不称	bu4'cheng1
不究	bu2'jiu4
不空	bu4'kong1
不给	bu4'ji3
不缪	bu2'miu4
不胜	bu2'sheng4
不胜	bu4'sheng1
不臊	bu2'sao4
不菲	bu4'fei3
不落	bu2'luo4
不薄	bu4'bo2
不行	bu4'xing2
不要	bu2'yao4
不见	bu2'jian4
不论	bu2'lun4
不识	bu2'shi4
不诬	bu4'wu2
不辱	bu2'ru4
不还	bu4'huan2
不逮	bu2'dai4
不重	bu2'zhong4
不量	bu4'liang2
不闷	bu2'men4
不阿	bu4'e1
不难	bu4'nan2
不露	bu2'lu4
与会	yu4'hui4
与党	yu3'dang3
与共	yu3'gong4
与其	yu3'qi2
与决	yu3'jue2
与否	yu3'fou3
与国	yu3'guo2
与格	yu3'ge2
与赛	yu4'sai4
与闻	yu4'wen2
丑咤	chou3'zha4
丑地	chou3'di4
丑恶	chou3'e4
丑相	chou3'xiang4
丑行	chou3'xing2
丑行	chou3'xing4
丑角	chou3'jue2
专差	zhuan1'chai1
专校	zhuan1'xiao4
专横	zhuan1'heng4
专长	zhuan1'chang2
且夫	qie3'fu2
且月	ju1'yue4
丕绩	pi1'ji1
世亲	shi4'qin1
世仇	shi4'chou2
世传	shi4'chuan2
世叔	shi4'shu2
世好	shi4'hao3
世好	shi4'hao4
世故	shi4'gu4
世故	shi4'gu5
世教	shi4'jiao4
世行	shi4'hang2
世间	shi4'jian1
丘壑	qiu1'huo4
业畜	ye4'chu4
业相	ye4'xiang4
业种	ye4'zhong3
业绩	ye4'ji1
丛帖	cong2'tie4
丛箐	cong2'jing1
丛薄	cong2'bo2
东兴	dong1'xing1
东宁	dong1'ning2
东家	dong1'jia1
东家	dong1'jia5
东干	dong1'gan1
东朝	dong1'chao2
东渐	dong1'jian1
东莞	dong1'guan3
东蒙	dong1'meng2
东行	dong1'xing2
东西	dong1'xi1
东西	dong1'xi5
东观	dong1'guan4
东边	dong1'bian1
东边	dong1'bian5
东都	dong1'du1
东阿	dong1'e1
丝发	si1'fa3
丝柏	si1'bo2
丝绦	si1'tao1
丞相	cheng2'xiang4
丢抹	diu1'mo3
丢撇	diu1'pie3
两丱	liang3'guan4
两便	liang3'bian4
两当	liang3'dang1
两相	liang3'xiang1
两边	liang3'bian1
两边	liang3'bian5
两都	liang3'du1
两难	liang3'nan2
严亲	yan2'qin1
严切	yan2'qie4
严处	yan2'chu3
严实	yan2'shi5
严恶	yan2'e4
严更	yan2'geng1
严紧	yan2'jin5
严重	yan2'zhong4
严靓	yan2'jing4
丧主	sang1'zhu3
丧乱	sang1'luan4
丧事	sang1'shi4
丧亡	sang4'wang2
丧亲	sang4'qin1
丧人	sang4'ren2
丧仪	sang1'yi2
丧假	sang1'jia4
丧偶	sang4'ou3
丧元	sang4'yuan2
丧具	sang1'ju4
丧冢	sang1'zhong3
丧命	sang4'ming4
丧失	sang4'shi1
丧妻	sang4'qi1
丧家	sang1'jia1
丧尽	sang4'jin4
丧居	sang1'ju1
丧德	sang4'de2
丧心	sang4'xin1
丧志	sang4'zhi4
丧明	sang4'ming2
丧服	sang1'fu2
丧权	sang4'quan2
丧梆	sang4'bang1
丧棒	sang1'bang4
丧榜	sang1'bang3
丧气	sang4'qi4
丧气	sang4'qi5
丧煞	sang1'sha4
丧父	sang4'fu4
丧生	sang4'sheng1
丧礼	sang1'li3
丧祭	sang1'ji4
丧纪	sang1'ji4
丧胆	sang4'dan3
丧荒	sang1'huang1
丧葬	sang1'zang4
丧谤	sang4'bang5
丧败	sang4'bai4
丧身	sang4'shen1
丧钟	sang1'zhong1
丧门	sang1'men2
个儿	ge4'r5
个子	ge4'zi5
个数	ge4'shu4
丫叉	ya1'cha1
丫头	ya1'tou5
丫子	ya1'zi5
丫杈	ya1'cha1
丫环	ya1'huan5
丫鬟	ya1'huan5
中举	zhong4'ju3
中伏	zhong1'fu2
中伏	zhong4'fu2
中伤	zhong4'shang1
中使	zhong1'shi3
中使	zhong4'shi3
中保	zhong1'bao3
中保	zhong4'bao3
中兴	zhong1'xing1
中分	zhong1'fen1
中吃	zhong4'chi1
中听	zhong4'ting1
中和	zhong1'he2
中地	zhong1'di4
中场	zhong1'chang3
中埔	zhong1'bu4
中堂	zhong1'tang2
中堂	zhong1'tang5
中奖	zhong4'jiang3
中宁	zhong1'ning2
中宿	zhong1'su4
中寒	zhong4'han2
中将	zhong1'jiang4
中度	zhong1'du4
中式	zhong1'shi4
中式	zhong4'shi4
中弹	zhong4'dan4
中彩	zhong4'cai3
中恶	zhong4'e4
中意	zhong4'yi4
中旨	zhong1'zhi3
中旨	zhong4'zhi3
中暑	zhong4'shu3
中朝	zhong1'chao2
中期	zhong1'qi2
中枪	zhong4'qiang1
中标	zhong4'biao1
中校	zhong1'xiao4
中毒	zhong4'du2
中油	zhong1'you2
中油	zhong4'you2
中浣	zhong1'wan3
中澣	zhong1'huan3
中牟	zhong1'mu4
中用	zhong4'yong4
中痰	zhong4'tan2
中的	zhong4'di4
中看	zhong4'kan4
中空	zhong1'kong1
中窍	zhong4'qiao4
中签	zhong4'qian1
中箭	zhong4'jian4
中缀	zhong1'zhui4
中缝	zhong1'feng4
中肯	zhong4'ken3
中节	zhong4'jie2
中落	zhong1'luo4
中藏	zhong1'zang4
中行	zhong1'hang2
中行	zhong1'xing4
中觉	zhong1'jiao4
中计	zhong1'ji4
中计	zhong4'ji4
中调	zhong1'diao4
中转	zhong1'zhuan3
中选	zhong4'xuan3
中邪	zhong4'xie2
中都	zhong1'du1
中酒	zhong1'jiu3
中酒	zhong4'jiu3
中镖	zhong4'biao1
中间	zhong1'jian1
中音	zhong1'yin1
中音	zhong4'yin1
中风	zhong4'feng1
中魔	zhong4'mo2
丰乐	feng1'le4
丰宁	feng1'ning2
丰度	feng1'du4
丰度	feng1'du4
丰杀	feng1'shai4
丰熟	feng1'shu2
丰盛	feng1'sheng4
丰茸	feng1'rong3
丰都	feng1'du1
丰镐	feng1'hao4
串哄	chuan4'hong1
串场	chuan4'chang2
串子	chuan4'zi5
临了	lin2'liao3
临危	lin2'wei2
临场	lin2'chang3
临寂	lin2'ji2
临帖	lin2'tie4
临朝	lin2'chao2
临期	lin2'qi2
临行	lin2'xing2
临难	lin2'nan4
丸子	wan2'zi5
丸泥	wan2'ni2
丹参	dan1'shen1
丹干	dan1'gan1
丹穴	dan1'xue4
丹荑	dan1'ti2
丹阙	dan1'que4
为主	wei2'zhu3
为了	wei4'le5
为人	wei2'ren2
为伍	wei2'wu3
为何	wei4'he2
为例	wei4'li4
为公	wei4'gong1
为准	wei2'zhun3
为善	wei2'shan4
为头	wei2'tou2
为学	wei2'xue2
为害	wei2'hai4
为我	wei4'wo3
为政	wei2'zheng4
为数	wei2'shu4
为时	wei2'shi2
为期	wei2'qi1
为期	wei2'qi2
为止	wei2'zhi3
为此	wei4'ci3
为生	wei2'sheng1
为着	wei4'zhe5
为荷	wei2'he4
为间	wei2'jian4
为难	wei2'nan2
为首	wei2'shou3
主从	zhu3'zong4
主和	zhu3'he2
主场	zhu3'chang3
主子	zhu3'zi5
主将	zhu3'jiang4
主意	zhu3'yi4
主意	zhu3'yi5
主播	zhu3'bo4
主教	zhu3'jiao4
主监	zhu3'jian1
主脉	zhu3'mai4
主角	zhu3'jiao3
主角	zhu3'jue2
主调	zhu3'diao4
丽水	li2'shui3
丽水	li4'shui3
丽致	li2'zhi4
丽都	li4'du1
丽靡	li4'mi3
举场	ju3'chang2
举监	ju3'jian4
举行	ju3'xing2
举重	ju3'zhong4
久待	jiu3'dai4
久要	jiu3'yao1
久长	jiu3'chang2
么么	me5'me5
么娘	mo2'niang2
么子	mo2'zi5
么波	mo2'bo1
么那	mo2'na4
么陋	mo2'lou4
义从	yi4'zong4
义分	yi4'fen4
义地	yi4'di4
义浆	yi4'jiang1
义渠	yi4'qu2
义疏	yi4'shu4
义行	yi4'xing2
义行	yi4'xing4
义铺	yi4'pu4
之间	zhi1'jian1
乌发	wu1'fa3
乌号	wu1'hao2
乌当	wu1'dang1
乌来	wu1'lai2
乌涂	wu1'tu5
乍得	zha4'de2
乍熟	zha4'shu2
乍看	zha4'kan4
乏地	fa2'di4
乐业	le4'ye4
乐东	le4'dong1
乐之	le4'zhi1
乐事	le4'shi4
乐亭	le4'ting2
乐人	yue4'ren2
乐利	le4'li4
乐句	yue2'ju2
乐句	yue4'ju4
乐史	yue4'shi3
乐呵	le4'he1
乐和	le4'he2
乐品	yue4'pin3
乐善	le4'shan4
乐器	yue4'qi4
乐团	yue4'tuan2
乐园	le4'yuan2
乐国	le4'guo2
乐土	le4'tu3
乐圣	yue4'sheng4
乐坛	yue4'tan2
乐境	le4'jing4
乐声	yue4'sheng1
乐处	le4'chu4
乐天	le4'tian1
乐妇	yue4'fu4
乐子	le4'zi5
乐安	le4'an1
乐山	le4'shan1
乐岁	le4'sui4
乐工	yue4'gong1
乐师	yue4'shi1
乐平	le4'ping2
乐床	yue4'chuang2
乐府	yue4'fu3
乐式	yue4'shi4
乐律	yue4'lv4
乐得	le4'de2
乐意	le4'yi4
乐手	yue4'shou3
乐托	le4'tuo1
乐捐	le4'juan1
乐探	yue4'tan4
乐施	le4'shi1
乐昌	le4'chang1
乐易	le4'yi4
乐普	le4'pu3
乐曲	yue4'qu3
乐棚	yue4'peng2
乐歌	yue4'ge1
乐正	yue4'zheng4
乐毅	yue4'yi4
乐池	yue4'chi2
乐浪	le4'lang4
乐清	yue4'qing1
乐理	yue4'li3
乐祸	le4'huo4
乐章	yue4'zhang1
乐籍	yue4'ji2
乐素	yue4'su4
乐经	yue4'jing1
乐群	le4'qun2
乐群	yao4'qun2
乐翁	yue4'weng1
乐育	le4'yu4
乐至	le4'zhi4
乐舞	yue4'wu3
乐蒂	le4'di4
乐观	le4'guan1
乐记	yue4'ji4
乐论	yue4'lun4
乐语	yue4'yu3
乐谱	yue4'pu3
乐购	le4'gou4
乐趣	le4'qu4
乐输	le4'shu1
乐迷	yue4'mi2
乐透	le4'tou4
乐道	le4'dao4
乐部	yue4'bu4
乐都	le4'du1
乐队	yue4'dui4
乐陵	le4'ling2
乐音	yue4'yin1
乐高	le4'gao1
乔志	jiao1'zhi4
乔志	qiao2'zhi4
乔怯	jiao1'qie4
乔怯	qiao2'que4
乖乖	guai1'guai1
乖乖	guai1'guai5
乖分	guai1'fen1
乖子	guai1'zi5
乖调	guai1'diao4
乖迕	guai1'wu4
乖间	guai1'jian4
乘传	cheng2'zhuan4
乘便	cheng2'bian4
乘兴	cheng2'xing4
乘危	cheng2'wei2
乘数	cheng2'shu4
乘间	cheng2'jian4
乘马	cheng2'ma3
乘马	sheng4'ma3
乙炔	yi3'que1
乙种	yi3'zhong3
乜斜	mie1'xie5
九亲	jiu3'qin1
九分	jiu3'fen1
九华	jiu3'hua1
九华	jiu3'hua2
九地	jiu3'di4
九折	jiu3'zhe2
九数	jiu3'shu4
九芎	jiu3'qiong1
九重	jiu3'chong2
九锡	jiu3'xi2
乞养	qi3'yang3
乞养	qi3'yang4
乞和	qi3'he2
乞期	qi3'qi2
乞降	qi3'xiang2
乞鞠	qi3'ju2
也曾	ye3'ceng2
也行	ye3'xing2
习熟	xi2'shu2
乡亲	xiang1'qin1
乡宁	xiang1'ning2
乡戚	xiang1'qi5
乡方	xiang4'fang1
乡曲	xiang1'qu1
乡长	xiang1'zhang3
乡间	xiang1'jian1
乣军	diu1'jun1
书传	shu1'zhuan4
书僮	shu1'tong2
书办	shu1'ban5
书卷	shu1'juan4
书场	shu1'chang2
书夹	shu1'jia2
书子	shu1'zi5
书种	shu1'zhong3
书空	shu1'kong1
书记	shu1'ji4
书记	shu1'ji5
书迹	shu1'ji1
书铺	shu1'pu4
买乐	mai3'le4
买得	mai3'de2
买服	mai3'fu5
买转	mai3'zhuan3
乱子	luan4'zi5
乱弹	luan4'tan2
乱旋	luan4'xuan2
乱盖	luan4'gai4
乳晕	ru3'yun4
乳燕	ru3'yan4
乳糜	ru3'mi2
乳臭	ru3'xiu4
乾元	qian2'yuan2
乾县	qian2'xian4
乾图	qian2'tu2
乾坤	qian2'kun1
乾宅	qian2'zhai2
乾断	qian2'duan4
乾旦	qian2'dan4
乾曜	qian2'yao4
乾红	qian2'hong2
乾纲	qian2'gang1
乾象	qian2'xiang4
乾造	qian2'zao4
乾道	qian2'dao4
乾陵	qian2'ling2
乾隆	qian2'long2
了了	liao3'liao3
了事	liao3'shi4
了亮	liao3'liang5
了债	liao3'zhai4
了决	liao3'jue2
了劣	liao3'lie4
了却	liao3'que4
了局	liao3'ju2
了帐	liao3'zhang4
了当	liao3'dang4
了得	liao3'de5
了悟	liao3'wu4
了愿	liao3'yuan4
了手	liao3'shou3
了收	liao3'shou1
了断	liao3'duan4
了无	liao3'wu2
了案	liao3'an4
了毕	liao3'bi4
了清	liao3'qing1
了然	liao3'ran2
了然	liao3'ran2
了纳	liao3'na4
了结	liao3'jie2
了落	liao3'luo4
了解	liao3'jie3
了解	liao3'jie3
了讫	liao3'qi4
了话	liao3'hua4
了语	liao3'yu3
了账	liao3'zhang4
了鸟	liao3'diao3
予假	yu3'jia4
争差	zheng1'cha1
争强	zheng1'qiang2
争得	zheng1'de2
争相	zheng1'xiang1
事假	shi4'jia4
事儿	shi4'r5
事头	shi4'tou5
事畜	shi4'xu4
事迹	shi4'ji1
事迹	shi4'ji1
二乘	er4'sheng4
二亲	er4'qin1
二传	er4'zhuan4
二伯	er4'ba4
二伯	er4'bo2
二分	er4'fen1
二度	er4'du4
二愣	er4'leng5
二更	er4'geng1
二空	er4'kong1
二重	er4'chong2
二难	er4'nan2
于嗟	xu1'jie1
于思	yu2'sai1
于都	yu2'du1
于阗	yu2'tian2
亏待	kui1'dai4
亏得	kui1'de5
亏折	kui1'zhe2
亏空	kui1'kong1
亏空	kui1'kong5
亏累	kui1'lei3
云为	yun2'wei2
云和	yun2'he2
云屏	yun2'ping2
云彩	yun2'cai5
云散	yun2'san4
云泥	yun2'ni2
云涛	yun2'tao2
云量	yun2'liang4
互相	hu4'xiang1
互调	hu4'diao4
五伯	wu3'ba4
五度	wu3'du4
五折	wu3'zhe2
五教	wu3'jiao4
五更	wu3'geng1
五畜	wu3'chu4
五百	wu3'bai3
五百	wu3'bo2
五种	wu3'zhong3
五结	wu3'jie2
五荤	wu3'hun1
五行	wu3'xing2
五车	wu3'ju1
五辟	wu3'bi4
井地	jing3'di4
井宿	jing3'xiu4
井干	jing3'han2
井干	jing3'han2
亚当	ya3'dang1
亚当	ya4'dang1
亚撒	ya3'sa1
亚撒	ya4'sa1
亚种	ya3'zhong3
亚种	ya4'zhong3
些个	xie1'ge5
亟亟	ji2'ji2
亟待	ji2'dai4
亟思	ji2'si1
亟欲	ji2'yu4
亟需	ji2'xu1
交与	jiao1'yu3
交代	jiao1'dai4
交代	jiao1'dai5
交分	jiao1'fen4
交卷	jiao1'juan4
交叉	jiao1'cha1
交子	jiao1'zi5
交差	jiao1'chai1
交待	jiao1'dai4
交恶	jiao1'e4
交恶	jiao1'wu4
交情	jiao1'qing2
交情	jiao1'qing5
交横	jiao1'heng2
交相	jiao1'xiang1
交结	jiao1'jie2
交绥	jiao1'sui1
交还	jiao1'huan2
亦称	yi4'cheng1
产仔	chan3'zi3
产假	chan3'jia4
产地	chan3'di4
产量	chan3'liang4
享乐	xiang3'le4
京观	jing1'guan4
京调	jing1'diao4
京都	jing1'du1
京阙	jing1'que4
亭场	ting2'chang2
亭子	ting2'zi5
亭长	ting2'zhang3
亮子	liang4'zi5
亮度	liang4'du4
亮片	liang4'pian4
亮相	liang4'xiang4
亮菌	liang4'jun1
亮阴	liang2'an1
亲丁	qin1'ding1
亲串	qin1'chuan4
亲临	qin1'lin2
亲事	qin1'shi4
亲事	qin1'shi5
亲交	qin1'jiao1
亲亲	qin1'qin1
亲人	qin1'ren2
亲代	qin1'dai4
亲任	qin1'ren4
亲供	qin1'gong1
亲信	qin1'xin4
亲傍	qin1'bang4
亲兵	qin1'bing1
亲切	qin1'qie4
亲历	qin1'li4
亲厚	qin1'hou4
亲友	qin1'you3
亲口	qin1'kou3
亲启	qin1'qi3
亲吻	qin1'wen3
亲和	qin1'he2
亲善	qin1'shan4
亲嘴	qin1'zui3
亲子	qin1'zi3
亲家	qing4'jia5
亲密	qin1'mi4
亲展	qin1'zhan3
亲属	qin1'shu3
亲幸	qin1'xing4
亲庭	qin1'ting2
亲往	qin1'wang3
亲征	qin1'zheng1
亲情	qin1'qing2
亲戚	qin1'qi1
亲戚	qin1'qi5
亲房	qing4'fang2
亲手	qin1'shou3
亲授	qin1'shou4
亲政	qin1'zheng4
亲故	qin1'gu4
亲族	qin1'zu2
亲昵	qin1'ni4
亲暱	qin1'ni4
亲朋	qin1'peng2
亲本	qin1'ben3
亲权	qin1'quan2
亲母	qin1'mu3
亲民	qin1'min2
亲潮	qin1'chao2
亲炙	qin1'zhi4
亲热	qin1're4
亲爱	qin1'ai4
亲率	qin1'shuai4
亲王	qin1'wang2
亲生	qin1'sheng1
亲疏	qin1'shu1
亲眷	qin1'juan4
亲眼	qin1'yan3
亲睦	qin1'mu4
亲睹	qin1'du3
亲知	qin1'zhi1
亲笔	qin1'bi3
亲等	qin1'deng3
亲类	qin1'lei4
亲系	qin1'xi4
亲缘	qin1'yuan2
亲翁	qing4'weng1
亲耕	qin1'geng1
亲耳	qin1'er3
亲自	qin1'zi4
亲著	qin1'zhu4
亲贤	qin1'xian2
亲贵	qin1'gui4
亲赴	qin1'fu4
亲身	qin1'shen1
亲迎	qin1'ying4
亲近	qin1'jin4
亲随	qin1'sui2
亲香	qin1'xiang1
亲驾	qin1'jia4
亵玩	xie4'wan4
亹亹	wei3'wei3
人为	ren2'wei2
人参	ren2'shen1
人和	ren2'he2
人地	ren2'di4
人家	ren2'jia1
人家	ren2'jia5
人性	ren2'xing4
人性	ren2'xing5
人数	ren2'shu4
人样	ren2'yang5
人畜	ren2'chu4
人种	ren2'zhong3
人称	ren2'cheng1
人脉	ren2'mai4
人质	ren2'zhi4
人迹	ren2'ji1
人间	ren2'jian1
什么	she2'me5
什么	shen2'me5
仁义	ren2'yi4
仁义	ren2'yi5
仁和	ren2'he2
仄行	ze4'xing2
仅供	jin3'gong1
仆从	pu2'zong4
仆地	pu1'de5
仆射	pu2'ye4
仇人	chou2'ren2
仇仇	qiu2'qiu2
仇偶	qiu2'ou3
仇家	chou2'jia1
仇怨	chou2'yuan4
仇恨	chou2'hen4
仇敌	chou2'di2
仇杀	chou2'sha1
仇英	qiu2'ying1
仇视	chou2'shi4
仇隙	chou2'xi4
仇香	chou2'xiang1
今儿	jin1'r5
今夕	jin1'xi4
今昔	jin1'xi2
今朝	jin1'zhao1
从伯	zong4'bo2
从兄	zong4'xiong1
从刑	zong4'xing2
从吏	zong4'li4
从女	zong4'nv3
从子	zong4'zi3
从官	zong4'guan1
从容	cong1'rong2
从弟	zong4'di4
从母	zong4'mu3
从法	zong4'fa3
从父	zong4'fu4
从犯	zong4'fan4
从约	zong1'yue1
从罚	zong4'fa2
从者	zong4'zhe3
从衡	zong1'heng2
仓储	cang1'chu2
仓卒	cang1'cu4
仓颉	cang1'jie2
仔么	zai3'me5
仔姜	zi3'jiang1
仔密	zi3'mi4
仔畜	zi3'chu4
仔细	zi3'xi4
仔肩	zi1'jian1
他俩	ta1'liang3
他和	ta1'han4
他和	ta1'he2
他处	ta1'chu4
付与	fu4'yu3
仙乐	xian1'yue4
仡仡	yi4'yi4
仡栗	yi4'li4
代兴	dai4'xing1
代数	dai4'shu4
代脉	dai4'mai4
令亲	ling4'qin1
令姊	ling4'jie3
令媛	ling4'yuan4
令狐	ling2'hu2
令狐	ling4'hu2
以为	yi3'wei2
以便	yi3'bian4
以撒	yi3'sa3
以还	yi3'huan2
以降	yi3'jiang4
仪从	yi2'zong4
仰息	yang3'xi2
仰看	yang3'kan4
仰给	yang3'ji3
仲父	zhong4'fu3
仲虺	zhong4'hui3
仳倠	pi3'hui1
件数	jian4'shu3
件数	jian4'shu4
价钱	jia4'qian5
任人	ren2'ren2
任人	ren4'ren2
任便	ren4'bian4
任公	ren2'gong1
任务	ren4'wu4
任务	ren4'wu5
任嚣	ren2'xiao1
任教	ren4'jiao4
任昉	ren2'fang3
任期	ren4'qi2
任脉	ren4'mai4
任重	ren4'zhong4
份儿	fen4'r5
份量	fen4'liang5
仿佛	fang3'fu2
仿佛	fang3'fu2
仿圈	fang3'quan1
仿行	fang3'xing2
仿讽	fang3'feng4
企业	qi4'ye4
企伫	qi4'zhu4
企划	qi3'hua4
企划	qi4'hua4
企及	qi4'ji2
企图	qi4'tu2
企慕	qi4'mu4
企望	qi4'wang4
企求	qi4'qiu2
企盼	qi4'pan4
企祷	qi4'dao3
企羡	qi4'xian4
企踵	qi4'zhong3
企鹅	qi4'e2
伊宁	yi1'ning2
伊昔	yi1'xi2
伍员	wu3'yun2
伍长	wu3'zhang3
伎俩	ji4'liang3
伏伺	fu2'si4
伏侍	fu2'shi4
伏侍	fu2'shi5
伏击	fu2'ji2
伏地	fu2'di4
伏胜	fu2'sheng1
伏落	fu2'luo4
伏藏	fu2'cang2
伏行	fu2'xing2
伏雌	fu2'ci1
伐丧	fa1'sang1
伐交	fa1'jiao1
伐兵	fa1'bing1
伐冰	fa1'bing1
伐善	fa1'shan4
伐性	fa1'xing4
伐木	fa1'mu4
伐柯	fa1'ke1
伐檀	fa1'tan2
伐生	fa1'sheng1
伐罪	fa1'zui4
伐艺	fa1'yi4
伐薪	fa1'xin1
伐谋	fa1'mou2
伐鼓	fa1'gu3
休假	xiu1'jia4
休宁	xiu1'ning2
休屠	xiu1'tu2
休屠	xiu3'chu2
休息	xiu1'xi2
休息	xiu1'xi5
休暇	xiu1'xia4
伕子	fu1'zi5
众数	zhong4'shu4
优乐	you1'le4
优假	you1'jia3
优处	you1'chu4
优待	you1'dai4
优洽	you1'xia2
优长	you1'chang2
伙食	huo3'shi5
会亲	hui4'qin1
会子	hui3'zi5
会子	hui4'zi3
会宁	hui4'ning2
会弁	kuai4'bian4
会得	hui4'de5
会撮	kuai4'zui4
